name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,new_column,total_sales
Grand Theft Auto V,X360,2013,Action,9.66,5.14,0.06,1.41,97.0,8.1,M,Grand Theft Auto V_X360_Action_2013,16.27
Grand Theft Auto: Vice City,PS2,2002,Action,8.41,5.49,0.47,1.78,95.0,8.7,M,Grand Theft Auto: Vice City_PS2_Action_2002,16.150000000000002
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,6.06,3.9,5.38,0.5,,,,Pokemon Ruby/Pokemon Sapphire_GBA_Role-Playing_2002,15.84
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,3.43,5.35,5.32,1.18,77.0,7.1,E,Brain Age 2: More Training in Minutes a Day_DS_Puzzle_2005,15.28
Pokemon Black/Pokemon White,DS,2010,Role-Playing,5.51,3.17,5.65,0.8,,,,Pokemon Black/Pokemon White_DS_Role-Playing_2010,15.13
Gran Turismo 3: A-Spec,PS2,2001,Racing,6.85,5.09,1.87,1.16,95.0,8.4,E,Gran Turismo 3: A-Spec_PS2_Racing_2001,14.969999999999999
Call of Duty: Modern Warfare 3,X360,2011,Shooter,9.04,4.24,0.13,1.32,88.0,3.4,M,Call of Duty: Modern Warfare 3_X360_Shooter_2011,14.73
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,5.89,5.04,3.12,0.59,,,,Pokémon Yellow: Special Pikachu Edition_GB_Role-Playing_1998,14.64
Call of Duty: Black Ops 3,PS4,2015,Shooter,6.03,5.86,0.36,2.38,,,,Call of Duty: Black Ops 3_PS4_Shooter_2015,14.629999999999999
Call of Duty: Black Ops,X360,2010,Shooter,9.7,3.68,0.11,1.13,87.0,6.3,M,Call of Duty: Black Ops_X360_Shooter_2010,14.619999999999997
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,5.28,4.19,4.35,0.78,,,,Pokemon X/Pokemon Y_3DS_Role-Playing_2013,14.6
Call of Duty: Black Ops II,PS3,2012,Shooter,4.99,5.73,0.65,2.42,83.0,5.3,M,Call of Duty: Black Ops II_PS3_Shooter_2012,13.790000000000001
Call of Duty: Black Ops II,X360,2012,Shooter,8.25,4.24,0.07,1.12,83.0,4.8,M,Call of Duty: Black Ops II_X360_Shooter_2012,13.68
Call of Duty: Modern Warfare 2,X360,2009,Shooter,8.52,3.59,0.08,1.28,94.0,6.3,M,Call of Duty: Modern Warfare 2_X360_Shooter_2009,13.469999999999999
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,5.54,5.73,0.49,1.57,88.0,3.2,M,Call of Duty: Modern Warfare 3_PS3_Shooter_2011,13.33
Grand Theft Auto III,PS2,2001,Action,6.99,4.51,0.3,1.3,97.0,8.5,M,Grand Theft Auto III_PS2_Action_2001,13.100000000000001
Super Smash Bros. Brawl,Wii,2008,Fighting,6.62,2.55,2.66,1.01,93.0,8.9,T,Super Smash Bros. Brawl_Wii_Fighting_2008,12.84
Mario Kart 7,3DS,2011,Racing,5.03,4.02,2.69,0.91,85.0,8.2,E,Mario Kart 7_3DS_Racing_2011,12.65
Call of Duty: Black Ops,PS3,2010,Shooter,5.99,4.37,0.48,1.79,88.0,6.4,M,Call of Duty: Black Ops_PS3_Shooter_2010,12.629999999999999
Grand Theft Auto V,PS4,2014,Action,3.96,6.31,0.38,1.97,97.0,8.3,M,Grand Theft Auto V_PS4_Action_2014,12.620000000000001
Animal Crossing: Wild World,DS,2005,Simulation,2.5,3.45,5.33,0.86,86.0,8.7,E,Animal Crossing: Wild World_DS_Simulation_2005,12.14
Halo 3,X360,2007,Shooter,7.97,2.81,0.13,1.21,94.0,7.8,M,Halo 3_X360_Shooter_2007,12.120000000000001
Super Mario 64,N64,1996,Platform,6.91,2.85,1.91,0.23,,,,Super Mario 64_N64_Platform_1996,11.9
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,4.34,2.71,3.96,0.76,,,,Pokemon HeartGold/Pokemon SoulSilver_DS_Action_2009,11.77
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,4.35,3.49,3.1,0.74,,,,Pokemon Omega Ruby/Pokemon Alpha Sapphire_3DS_Role-Playing_2014,11.68
Gran Turismo 4,PS2,2004,Racing,3.01,0.01,1.1,7.53,89.0,8.5,E,Gran Turismo 4_PS2_Racing_2004,11.649999999999999
Super Mario Galaxy,Wii,2007,Platform,6.06,3.35,1.2,0.74,97.0,8.9,E,Super Mario Galaxy_Wii_Platform_2007,11.35
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,6.16,2.04,2.69,0.29,,,,Super Mario Land 2: 6 Golden Coins_GB_Adventure_1992,11.179999999999998
Grand Theft Auto IV,X360,2008,Action,6.76,3.07,0.14,1.03,98.0,7.9,M,Grand Theft Auto IV_X360_Action_2008,11.0
Gran Turismo,PS,1997,Racing,4.02,3.87,2.54,0.52,96.0,8.7,E,Gran Turismo_PS_Racing_1997,10.95
Super Mario 3D Land,3DS,2011,Platform,4.89,3.0,2.14,0.78,90.0,8.4,E,Super Mario 3D Land_3DS_Platform_2011,10.809999999999999
Gran Turismo 5,PS3,2010,Racing,2.96,4.82,0.81,2.11,84.0,7.5,E,Gran Turismo 5_PS3_Racing_2010,10.7
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,4.99,3.64,0.38,1.6,94.0,6.3,M,Call of Duty: Modern Warfare 2_PS3_Shooter_2009,10.610000000000001
Super Mario All-Stars,SNES,1993,Platform,5.99,2.15,2.12,0.29,,,,Super Mario All-Stars_SNES_Platform_1993,10.55
Grand Theft Auto IV,PS3,2008,Action,4.76,3.69,0.44,1.61,98.0,7.5,M,Grand Theft Auto IV_PS3_Action_2008,10.499999999999998
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,4.34,2.65,3.15,0.35,,,,Pokemon FireRed/Pokemon LeafGreen_GBA_Role-Playing_2004,10.49
Super Mario 64,DS,2004,Platform,5.01,3.07,1.25,0.97,,,,Super Mario 64_DS_Platform_2004,10.3
Call of Duty: Ghosts,X360,2013,Shooter,6.73,2.56,0.04,0.91,73.0,2.6,M,Call of Duty: Ghosts_X360_Shooter_2013,10.24
Just Dance 3,Wii,2011,Misc,5.95,3.11,0.0,1.06,74.0,7.8,E10+,Just Dance 3_Wii_Misc_2011,10.120000000000001
New Super Mario Bros. 2,3DS,2012,Platform,3.66,3.14,2.47,0.63,78.0,7.2,E,New Super Mario Bros. 2_3DS_Platform_2012,9.900000000000002
Mario Kart 64,N64,1996,Racing,5.55,1.94,2.23,0.15,,,,Mario Kart 64_N64_Racing_1996,9.870000000000001
Halo: Reach,X360,2010,Shooter,7.04,1.95,0.08,0.79,91.0,7.9,M,Halo: Reach_X360_Shooter_2010,9.86
Final Fantasy VII,PS,1997,Role-Playing,3.01,2.47,3.28,0.96,92.0,9.2,T,Final Fantasy VII_PS_Role-Playing_1997,9.719999999999999
Halo 4,X360,2012,Shooter,6.65,2.28,0.04,0.74,87.0,7.0,M,Halo 4_X360_Shooter_2012,9.709999999999999
Gran Turismo 2,PS,1999,Racing,3.88,3.42,1.69,0.5,93.0,9.0,T,Gran Turismo 2_PS_Racing_1999,9.49
Just Dance 2,Wii,2010,Misc,5.8,2.85,0.01,0.78,74.0,7.3,E10+,Just Dance 2_Wii_Misc_2010,9.44
Call of Duty: Ghosts,PS3,2013,Shooter,4.1,3.63,0.38,1.25,71.0,2.6,M,Call of Duty: Ghosts_PS3_Shooter_2013,9.36
Call of Duty 4: Modern Warfare,X360,2007,Shooter,5.93,2.36,0.13,0.9,94.0,8.4,M,Call of Duty 4: Modern Warfare_X360_Shooter_2007,9.32
Donkey Kong Country,SNES,1994,Platform,4.36,1.71,3.0,0.23,,,,Donkey Kong Country_SNES_Platform_1994,9.3
Minecraft,X360,2013,Misc,5.7,2.65,0.02,0.81,,,,Minecraft_X360_Misc_2013,9.18
Animal Crossing: New Leaf,3DS,2012,Simulation,2.03,2.36,4.39,0.39,88.0,8.7,E,Animal Crossing: New Leaf_3DS_Simulation_2012,9.17
Mario Party DS,DS,2007,Misc,4.4,1.85,1.98,0.68,72.0,7.8,E,Mario Party DS_DS_Misc_2007,8.91
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,5.05,2.79,0.1,0.85,96.0,8.4,M,The Elder Scrolls V: Skyrim_X360_Role-Playing_2011,8.79
Super Mario Kart,SNES,1992,Racing,3.54,1.24,3.81,0.18,,,,Super Mario Kart_SNES_Racing_1992,8.77
FIFA 16,PS4,2015,Sports,1.12,6.12,0.06,1.28,82.0,4.3,E,FIFA 16_PS4_Sports_2015,8.58
Halo 2,XB,2004,Shooter,6.82,1.53,0.05,0.08,95.0,8.2,M,Halo 2_XB_Shooter_2004,8.48
Wii Party,Wii,2010,Misc,1.75,3.47,2.49,0.67,68.0,7.4,E,Wii Party_Wii_Misc_2010,8.38
Mario Party 8,Wii,2007,Misc,3.74,2.24,1.58,0.7,62.0,6.3,E,Mario Party 8_Wii_Misc_2007,8.26
FIFA Soccer 13,PS3,2012,Action,1.06,5.01,0.13,1.97,88.0,6.6,E,FIFA Soccer 13_PS3_Action_2012,8.17
GoldenEye 007,N64,1997,Shooter,5.8,2.01,0.13,0.15,,,,GoldenEye 007_N64_Shooter_1997,8.09
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,2.79,1.72,3.14,0.41,,,,Pokemon Black 2/Pokemon White 2_DS_Role-Playing_2012,8.06
Final Fantasy X,PS2,2001,Role-Playing,2.91,2.07,2.73,0.33,92.0,8.7,T,Final Fantasy X_PS2_Role-Playing_2001,8.040000000000001
The Sims 3,PC,2009,Simulation,0.99,6.42,0.0,0.6,86.0,7.6,T,The Sims 3_PC_Simulation_2009,8.01
Mario & Sonic at the Olympic Games,Wii,2007,Sports,2.57,3.86,0.66,0.91,,,,Mario & Sonic at the Olympic Games_Wii_Sports_2007,8.0
Star Wars Battlefront (2015),PS4,2015,Shooter,2.99,3.49,0.22,1.28,,,,Star Wars Battlefront (2015)_PS4_Shooter_2015,7.98
Final Fantasy VIII,PS,1999,Role-Playing,2.28,1.72,3.63,0.23,90.0,8.6,T,Final Fantasy VIII_PS_Role-Playing_1999,7.86
Pac-Man,2600,1982,Puzzle,7.28,0.45,0.0,0.08,,,,Pac-Man_2600_Puzzle_1982,7.8100000000000005
Pokémon Platinum Version,DS,2008,Role-Playing,2.76,1.72,2.69,0.54,83.0,8.5,E,Pokémon Platinum Version_DS_Role-Playing_2008,7.71
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,2.9,2.81,0.24,1.73,88.0,7.6,M,Grand Theft Auto: Liberty City Stories_PSP_Action_2005,7.68
Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.81,3.48,0.14,1.23,83.0,5.7,M,Call of Duty: Advanced Warfare_PS4_Shooter_2014,7.66
The Legend of Zelda: Ocarina of Time,N64,1998,Action,4.1,1.89,1.45,0.16,,,,The Legend of Zelda: Ocarina of Time_N64_Action_1998,7.6
FIFA 17,PS4,2016,Sports,0.66,5.75,0.08,1.11,85.0,5.0,E,FIFA 17_PS4_Sports_2016,7.6000000000000005
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,3.78,2.17,1.31,0.31,,,,Crash Bandicoot 2: Cortex Strikes Back_PS_Platform_1997,7.569999999999999
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,3.27,1.37,2.43,0.48,,,,Super Smash Bros. for Wii U and 3DS_3DS_Fighting_2014,7.550000000000001
Super Mario Galaxy 2,Wii,2010,Platform,3.56,2.35,0.98,0.62,97.0,9.1,E,Super Mario Galaxy 2_Wii_Platform_2010,7.510000000000001
Super Mario Bros. 2,NES,1988,Platform,5.39,1.18,0.7,0.19,,,,Super Mario Bros. 2_NES_Platform_1988,7.46
Call of Duty: Black Ops 3,XOne,2015,Shooter,4.59,2.11,0.01,0.68,,,,Call of Duty: Black Ops 3_XOne_Shooter_2015,7.389999999999999
Call of Duty: World at War,X360,2008,Shooter,4.81,1.88,0.0,0.69,84.0,7.6,M,Call of Duty: World at War_X360_Shooter_2008,7.379999999999999
Battlefield 3,X360,2011,Shooter,4.46,2.11,0.06,0.69,84.0,7.4,M,Battlefield 3_X360_Shooter_2011,7.32
Need for Speed Underground,PS2,2003,Racing,3.27,2.83,0.08,1.02,85.0,8.6,E,Need for Speed Underground_PS2_Racing_2003,7.199999999999999
Just Dance,Wii,2009,Misc,3.48,2.99,0.0,0.73,49.0,8.0,E10+,Just Dance_Wii_Misc_2009,7.200000000000001
Battlefield 3,PS3,2011,Shooter,2.85,2.89,0.35,1.08,85.0,7.5,M,Battlefield 3_PS3_Shooter_2011,7.17
Fallout 4,PS4,2015,Role-Playing,2.53,3.27,0.24,1.13,87.0,6.5,M,Fallout 4_PS4_Role-Playing_2015,7.17
Tekken 3,PS,1998,Fighting,3.27,2.22,1.4,0.29,96.0,9.1,T,Tekken 3_PS_Fighting_1998,7.180000000000001
The Legend of Zelda: Twilight Princess,Wii,2006,Action,3.74,2.14,0.6,0.68,95.0,9.0,T,The Legend of Zelda: Twilight Princess_Wii_Action_2006,7.16
Pokemon Sun/Moon,3DS,2016,Role-Playing,2.98,1.45,2.26,0.45,,,,Pokemon Sun/Moon_3DS_Role-Playing_2016,7.14
Crash Bandicoot 3: Warped,PS,1998,Platform,3.68,1.75,1.42,0.28,91.0,8.9,E,Crash Bandicoot 3: Warped_PS_Platform_1998,7.13
Mario Kart 8,WiiU,2014,Racing,3.15,2.15,1.28,0.51,88.0,9.1,E,Mario Kart 8_WiiU_Racing_2014,7.09
Super Smash Bros. Melee,GC,2001,Fighting,4.41,1.04,1.39,0.22,92.0,9.1,T,Super Smash Bros. Melee_GC_Fighting_2001,7.06
Mario Kart: Double Dash!!,GC,2003,Racing,4.12,1.77,0.87,0.19,,,,Mario Kart: Double Dash!!_GC_Racing_2003,6.950000000000001
Need for Speed Underground 2,PS2,2004,Racing,2.71,3.02,0.08,1.09,82.0,8.6,E,Need for Speed Underground 2_PS2_Racing_2004,6.9
Medal of Honor: Frontline,PS2,2002,Shooter,2.93,2.75,0.17,0.99,88.0,8.5,T,Medal of Honor: Frontline_PS2_Shooter_2002,6.84
Crash Bandicoot,PS,1996,Platform,3.23,2.35,0.94,0.3,,,,Crash Bandicoot_PS_Platform_1996,6.819999999999999
Just Dance 4,Wii,2012,Misc,4.05,2.16,0.0,0.55,74.0,7.3,E10+,Just Dance 4_Wii_Misc_2012,6.76
Gears of War 2,X360,2008,Shooter,4.15,1.9,0.06,0.64,93.0,7.7,M,Gears of War 2_X360_Shooter_2008,6.75
Uncharted 3: Drake's Deception,PS3,2011,Action,2.77,2.75,0.19,1.03,92.0,8.3,T,Uncharted 3: Drake's Deception_PS3_Action_2011,6.74
Zumba Fitness,Wii,2010,Sports,3.45,2.59,0.0,0.66,,,E,Zumba Fitness_Wii_Sports_2010,6.7
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,3.11,2.26,0.28,1.03,94.0,8.4,M,Call of Duty 4: Modern Warfare_PS3_Shooter_2007,6.68
Uncharted 2: Among Thieves,PS3,2009,Action,3.27,2.2,0.21,0.98,96.0,8.8,T,Uncharted 2: Among Thieves_PS3_Action_2009,6.66
FIFA 12,PS3,2011,Sports,0.84,4.3,0.11,1.39,,,,FIFA 12_PS3_Sports_2011,6.64
Big Brain Academy,DS,2005,Misc,1.66,2.75,1.6,0.62,74.0,7.4,E,Big Brain Academy_DS_Misc_2005,6.63
The Legend of Zelda,NES,1986,Action,3.74,0.93,1.69,0.14,,,,The Legend of Zelda_NES_Action_1986,6.499999999999999
Red Dead Redemption,PS3,2010,Action,2.79,2.53,0.17,0.99,95.0,8.8,M,Red Dead Redemption_PS3_Action_2010,6.48
FIFA 14,PS3,2013,Sports,0.78,4.24,0.07,1.37,86.0,4.3,E,FIFA 14_PS3_Sports_2013,6.460000000000001
Assassin's Creed III,PS3,2012,Action,2.64,2.52,0.16,1.12,85.0,6.9,M,Assassin's Creed III_PS3_Action_2012,6.44
Donkey Kong Country Returns,Wii,2010,Platform,3.17,1.79,1.03,0.46,87.0,8.6,E,Donkey Kong Country Returns_Wii_Platform_2010,6.45
Halo: Combat Evolved,XB,2001,Shooter,4.98,1.3,0.08,0.07,97.0,8.6,M,Halo: Combat Evolved_XB_Shooter_2001,6.430000000000001
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,2.55,2.6,0.25,1.0,92.0,6.4,M,The Elder Scrolls V: Skyrim_PS3_Role-Playing_2011,6.4
Pokémon Emerald Version,GBA,2004,Role-Playing,2.57,1.58,2.06,0.21,76.0,9.0,E,Pokémon Emerald Version_GBA_Role-Playing_2004,6.420000000000001
Kingdom Hearts,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,85.0,8.8,E,Kingdom Hearts_PS2_Role-Playing_2002,6.4
Pokémon Crystal Version,GB,2000,Role-Playing,2.55,1.56,1.29,0.99,,,,Pokémon Crystal Version_GB_Role-Playing_2000,6.39
Halo 3: ODST,X360,2009,Shooter,4.34,1.34,0.06,0.61,83.0,7.1,M,Halo 3: ODST_X360_Shooter_2009,6.35
Red Dead Redemption,X360,2010,Action,3.7,1.95,0.09,0.58,95.0,9.0,M,Red Dead Redemption_X360_Action_2010,6.32
Super Mario Sunshine,GC,2002,Platform,4.01,1.26,0.87,0.17,92.0,8.6,E,Super Mario Sunshine_GC_Platform_2002,6.31
Street Fighter II: The World Warrior,SNES,1992,Fighting,2.47,0.83,2.87,0.12,,,,Street Fighter II: The World Warrior_SNES_Fighting_1992,6.29
World of Warcraft,PC,2004,Role-Playing,0.08,6.21,0.0,0.0,93.0,7.3,T,World of Warcraft_PC_Role-Playing_2004,6.29
Driver,PS,1999,Action,3.11,2.8,0.02,0.33,87.0,8.1,T,Driver_PS_Action_1999,6.26
Gears of War 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,91.0,7.8,M,Gears of War 3_X360_Shooter_2011,6.21
Kinect Sports,X360,2010,Sports,3.92,1.73,0.03,0.51,73.0,7.4,E10+,Kinect Sports_X360_Sports_2010,6.19
Gears of War,X360,2006,Shooter,3.54,1.88,0.07,0.6,94.0,8.3,M,Gears of War_X360_Shooter_2006,6.09
FIFA 15,PS4,2014,Sports,0.8,4.33,0.05,0.9,82.0,5.7,E,FIFA 15_PS4_Sports_2014,6.08
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,2.45,2.01,0.87,0.72,96.0,8.7,M,Metal Gear Solid 2: Sons of Liberty_PS2_Action_2001,6.05
Sonic the Hedgehog 2,GEN,1992,Platform,4.47,1.2,0.16,0.19,,,,Sonic the Hedgehog 2_GEN_Platform_1992,6.0200000000000005
Metal Gear Solid,PS,1998,Action,3.18,1.83,0.78,0.24,94.0,9.4,M,Metal Gear Solid_PS_Action_1998,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,2.63,1.71,0.83,0.82,94.0,8.7,M,Metal Gear Solid 4: Guns of the Patriots_PS3_Action_2008,5.99
Final Fantasy XII,PS2,2006,Role-Playing,1.88,0.0,2.33,1.74,92.0,7.6,T,Final Fantasy XII_PS2_Role-Playing_2006,5.95
The Last of Us,PS3,2013,Action,2.41,2.18,0.28,0.99,95.0,9.1,M,The Last of Us_PS3_Action_2013,5.86
LittleBigPlanet,PS3,2008,Platform,2.8,1.98,0.17,0.87,95.0,6.8,E,LittleBigPlanet_PS3_Platform_2008,5.819999999999999
Resident Evil 2,PS,1998,Action,1.88,1.47,2.02,0.45,89.0,9.2,M,Resident Evil 2_PS_Action_1998,5.819999999999999
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,0.63,0.67,4.35,0.15,87.0,8.8,E10+,Dragon Quest IX: Sentinels of the Starry Skies_DS_Role-Playing_2009,5.8
Tekken 2,PS,1996,Fighting,2.26,1.89,1.36,0.23,89.0,8.9,T,Tekken 2_PS_Fighting_1996,5.74
Destiny,PS4,2014,Shooter,2.49,2.07,0.16,0.92,76.0,6.1,T,Destiny_PS4_Shooter_2014,5.640000000000001
LEGO Star Wars: The Complete Saga,Wii,2007,Action,3.57,1.55,0.0,0.51,80.0,8.9,E10+,LEGO Star Wars: The Complete Saga_Wii_Action_2007,5.63
Cooking Mama,DS,2006,Simulation,3.07,1.91,0.07,0.57,67.0,7.2,E,Cooking Mama_DS_Simulation_2006,5.62
Tetris,NES,1988,Puzzle,2.97,0.69,1.81,0.11,,,,Tetris_NES_Puzzle_1988,5.580000000000001
Super Smash Bros.,N64,1999,Fighting,2.95,0.6,1.97,0.04,,,,Super Smash Bros._N64_Fighting_1999,5.5600000000000005
Assassin's Creed II,PS3,2009,Action,2.54,1.93,0.21,0.86,91.0,8.6,M,Assassin's Creed II_PS3_Action_2009,5.54
Assassin's Creed,X360,2007,Adventure,3.28,1.64,0.07,0.56,81.0,7.7,M,Assassin's Creed_X360_Adventure_2007,5.550000000000001
Forza Motorsport 3,X360,2009,Racing,2.99,1.9,0.1,0.5,92.0,8.0,E,Forza Motorsport 3_X360_Racing_2009,5.49
Super Mario Advance,GBA,2001,Platform,3.14,1.24,0.91,0.2,84.0,7.8,E,Super Mario Advance_GBA_Platform_2001,5.49
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,0.47,0.55,4.13,0.34,81.0,8.7,T,Monster Hunter Freedom Unite_PSP_Role-Playing_2008,5.49
Batman: Arkham City,PS3,2011,Action,2.71,1.85,0.11,0.81,96.0,8.6,T,Batman: Arkham City_PS3_Action_2011,5.48
Grand Theft Auto V,XOne,2014,Action,2.81,2.19,0.0,0.47,97.0,7.9,M,Grand Theft Auto V_XOne_Action_2014,5.47
Mario Kart: Super Circuit,GBA,2001,Racing,2.62,1.64,0.99,0.23,93.0,8.3,E,Mario Kart: Super Circuit_GBA_Racing_2001,5.48
Super Mario World,GBA,2001,Platform,3.21,1.11,0.95,0.2,,,,Super Mario World_GBA_Platform_2001,5.470000000000001
Pokemon Stadium,N64,1999,Strategy,3.18,1.24,0.94,0.09,,,,Pokemon Stadium_N64_Strategy_1999,5.449999999999999
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2.07,2.29,0.24,0.82,66.0,7.1,E,Crash Bandicoot: The Wrath of Cortex_PS2_Platform_2001,5.42
Call of Duty: World at War,PS3,2008,Shooter,2.73,1.83,0.0,0.83,85.0,7.6,M,Call of Duty: World at War_PS3_Shooter_2008,5.390000000000001
Uncharted 4: A Thief's End,PS4,2016,Shooter,1.85,2.5,0.19,0.85,93.0,7.9,T,Uncharted 4: A Thief's End_PS4_Shooter_2016,5.39
Dr. Mario,GB,1989,Puzzle,2.18,0.96,2.0,0.2,,,,Dr. Mario_GB_Puzzle_1989,5.340000000000001
Final Fantasy XIII,PS3,2009,Role-Playing,1.74,1.21,1.87,0.51,83.0,7.3,T,Final Fantasy XIII_PS3_Role-Playing_2009,5.33
Pokemon Pinball,GB,1999,Misc,3.02,1.12,1.01,0.16,,,,Pokemon Pinball_GB_Misc_1999,5.3100000000000005
Final Fantasy IX,PS,2000,Role-Playing,1.62,0.77,2.78,0.14,94.0,8.9,T,Final Fantasy IX_PS_Role-Playing_2000,5.31
Assassin's Creed III,X360,2012,Action,3.13,1.69,0.03,0.44,84.0,6.7,M,Assassin's Creed III_X360_Action_2012,5.290000000000001
Final Fantasy X-2,PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,85.0,6.6,T,Final Fantasy X-2_PS2_Role-Playing_2003,5.279999999999999
Donkey Kong 64,N64,1999,Platform,3.33,0.79,1.09,0.06,,,,Donkey Kong 64_N64_Platform_1999,5.27
Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.22,1.55,0.01,0.48,81.0,5.4,M,Call of Duty: Advanced Warfare_XOne_Shooter_2014,5.26
Minecraft,PS3,2014,Misc,2.03,2.37,0.0,0.87,,,,Minecraft_PS3_Misc_2014,5.2700000000000005
Assassin's Creed II,X360,2009,Action,3.11,1.55,0.08,0.51,90.0,8.8,M,Assassin's Creed II_X360_Action_2009,5.25
Tomb Raider II,PS,1997,Action,2.3,2.46,0.2,0.28,85.0,,T,Tomb Raider II_PS_Action_1997,5.24
Tomodachi Life,3DS,2013,Simulation,0.97,2.11,1.9,0.24,,,,Tomodachi Life_3DS_Simulation_2013,5.220000000000001
